epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2557.58,1.3868,2.36074,1.13608,0.24113,0.37147,0.24018,0.16017,1.12417,1.90705,1.05108,0.000276962,0.000276962,0.000276962
2,4435.31,1.26047,1.81599,1.09315,0.37866,0.43671,0.30231,0.20033,1.076,1.73017,1.0384,0.000543647,0.000543647,0.000543647
3,6254.22,1.23187,1.7171,1.08221,0.2965,0.48438,0.33246,0.23016,1.04123,1.63849,1.0134,0.000799336,0.000799336,0.000799336
4,9665.45,1.18909,1.60902,1.0591,0.35624,0.44867,0.36385,0.25329,1.04903,1.50646,1.02317,0.00078352,0.00078352,0.00078352
5,13737,1.18444,1.54543,1.0598,0.43633,0.48793,0.38945,0.28162,0.99881,1.43706,0.99521,0.000767026,0.000767026,0.000767026
6,42381.5,1.14672,1.45866,1.0479,0.5212,0.46391,0.45887,0.33911,0.97239,1.31482,0.9733,0.000750533,0.000750533,0.000750533
7,44282.2,1.13458,1.39357,1.04321,0.46126,0.49614,0.47255,0.35152,0.96546,1.30158,0.98326,0.00073404,0.00073404,0.00073404
8,46103.1,1.11864,1.316,1.03355,0.43075,0.52602,0.4826,0.35762,0.95057,1.2603,0.97472,0.000717546,0.000717546,0.000717546
9,47925.7,1.09463,1.26624,1.02509,0.56064,0.46738,0.53759,0.40407,0.94057,1.1151,0.97145,0.000701053,0.000701053,0.000701053
10,50252.9,1.07601,1.20111,1.01522,0.58542,0.52138,0.54238,0.41035,0.91373,1.14089,0.96159,0.000684559,0.000684559,0.000684559
11,58620.9,1.06759,1.17327,1.01763,0.55221,0.59598,0.61329,0.46598,0.9063,1.02414,0.95315,0.000668066,0.000668066,0.000668066
12,61526.5,1.05742,1.11902,1.00754,0.58464,0.59819,0.63668,0.48418,0.91698,0.97209,0.95429,0.000651573,0.000651573,0.000651573
13,64461.6,1.049,1.08521,1.00323,0.64228,0.58155,0.6524,0.49604,0.90078,0.95602,0.94984,0.000635079,0.000635079,0.000635079
14,68314.9,1.03606,1.06484,0.99886,0.66684,0.58336,0.67495,0.5226,0.90598,0.96812,0.95331,0.000618586,0.000618586,0.000618586
15,71687.1,1.02616,1.03563,0.99601,0.62852,0.63422,0.67342,0.5183,0.87886,0.96258,0.94496,0.000602092,0.000602092,0.000602092
16,73371.8,1.01634,0.99094,0.99081,0.72066,0.6785,0.72171,0.5591,0.89602,0.88607,0.94577,0.000585599,0.000585599,0.000585599
17,75185.8,0.99643,0.94027,0.98408,0.71593,0.66458,0.7324,0.57947,0.87659,0.84496,0.93909,0.000569106,0.000569106,0.000569106
18,76909.7,1.00432,0.93307,0.98278,0.72398,0.66712,0.75862,0.60223,0.86169,0.8068,0.93675,0.000552612,0.000552612,0.000552612
19,88299.6,0.98783,0.91299,0.9798,0.76078,0.69397,0.79298,0.63241,0.84652,0.80195,0.9321,0.000536119,0.000536119,0.000536119
20,90611,0.97475,0.87989,0.97505,0.70661,0.73275,0.78264,0.62632,0.84227,0.82519,0.92504,0.000519625,0.000519625,0.000519625
21,92310.8,0.97322,0.87256,0.97271,0.76714,0.70614,0.8065,0.6552,0.82602,0.75616,0.921,0.000503132,0.000503132,0.000503132
22,93986.5,0.95812,0.85211,0.97064,0.81088,0.74373,0.81654,0.65677,0.83177,0.80138,0.92392,0.000486639,0.000486639,0.000486639
23,95616.4,0.95545,0.83308,0.96302,0.80822,0.75518,0.81765,0.66575,0.8227,0.76277,0.92153,0.000470145,0.000470145,0.000470145
24,98276.3,0.93884,0.82131,0.96332,0.77172,0.75513,0.83217,0.67826,0.81418,0.72907,0.91429,0.000453652,0.000453652,0.000453652
25,100055,0.93787,0.80175,0.96388,0.83603,0.73721,0.8155,0.66559,0.80797,0.73299,0.91543,0.000437158,0.000437158,0.000437158
26,101702,0.92578,0.78838,0.96196,0.84768,0.76745,0.85585,0.70571,0.79991,0.73746,0.91346,0.000420665,0.000420665,0.000420665
27,103339,0.92362,0.78252,0.95675,0.82896,0.78779,0.8663,0.70949,0.79193,0.69351,0.90841,0.000404172,0.000404172,0.000404172
28,106807,0.91465,0.76053,0.95255,0.86843,0.79852,0.87877,0.72512,0.79063,0.68401,0.90927,0.000387678,0.000387678,0.000387678
29,110783,0.9102,0.75765,0.95292,0.8489,0.79142,0.87533,0.71788,0.78904,0.68819,0.90751,0.000371185,0.000371185,0.000371185
30,125874,0.90953,0.75311,0.95336,0.89234,0.79161,0.87768,0.72546,0.77784,0.67129,0.90247,0.000354691,0.000354691,0.000354691
31,127554,0.89701,0.73516,0.94586,0.88287,0.79343,0.88224,0.72689,0.77534,0.66567,0.90154,0.000338198,0.000338198,0.000338198
32,130401,0.89272,0.72219,0.94436,0.85229,0.80158,0.89087,0.74298,0.77519,0.6602,0.90127,0.000321705,0.000321705,0.000321705
33,134120,0.89214,0.72128,0.94132,0.90313,0.79897,0.89735,0.74396,0.769,0.6507,0.90059,0.000305211,0.000305211,0.000305211
34,137425,0.87935,0.7039,0.93681,0.88724,0.7916,0.89424,0.74613,0.76484,0.64521,0.89944,0.000288718,0.000288718,0.000288718
35,139102,0.87671,0.69566,0.9378,0.8803,0.82022,0.89968,0.75837,0.74847,0.64997,0.89261,0.000272224,0.000272224,0.000272224
36,140850,0.87468,0.68521,0.93677,0.85798,0.82945,0.893,0.75294,0.74319,0.65025,0.89223,0.000255731,0.000255731,0.000255731
37,142494,0.86143,0.6763,0.93565,0.87749,0.80182,0.89864,0.75379,0.74505,0.64049,0.88953,0.000239238,0.000239238,0.000239238
38,144119,0.86066,0.67328,0.93183,0.88384,0.8238,0.90217,0.76129,0.74479,0.62715,0.89268,0.000222744,0.000222744,0.000222744
39,145743,0.83755,0.65484,0.92612,0.88453,0.83133,0.90668,0.76455,0.73774,0.61312,0.88797,0.000206251,0.000206251,0.000206251
40,147367,0.84125,0.64926,0.92698,0.89485,0.82657,0.90041,0.7602,0.73088,0.62363,0.88561,0.000189757,0.000189757,0.000189757
41,148974,0.76377,0.55623,0.90122,0.89135,0.83194,0.90086,0.76386,0.73345,0.6148,0.88505,0.000173264,0.000173264,0.000173264
42,150555,0.75192,0.53843,0.89712,0.90038,0.82565,0.90543,0.76519,0.72511,0.61638,0.8832,0.000156771,0.000156771,0.000156771
43,152135,0.73816,0.52737,0.89322,0.90953,0.83581,0.9088,0.77501,0.72042,0.60376,0.88381,0.000140277,0.000140277,0.000140277
44,155345,0.73555,0.52061,0.89026,0.9113,0.83885,0.91411,0.77401,0.71569,0.59199,0.88103,0.000123784,0.000123784,0.000123784
45,159306,0.72574,0.51235,0.88708,0.90929,0.84363,0.9144,0.78443,0.7061,0.58121,0.87796,0.00010729,0.00010729,0.00010729
46,165795,0.72105,0.50677,0.88799,0.89297,0.85448,0.91658,0.78435,0.70131,0.5829,0.87613,9.0797e-05,9.0797e-05,9.0797e-05
47,167428,0.71336,0.50373,0.88462,0.897,0.85429,0.91869,0.78632,0.69749,0.57302,0.87521,7.43036e-05,7.43036e-05,7.43036e-05
48,169066,0.70328,0.49515,0.88159,0.91044,0.83973,0.91803,0.79059,0.69487,0.57289,0.87376,5.78102e-05,5.78102e-05,5.78102e-05
